"","PC_1","PC_2","PC_3","PC_4","PC_5","PC_6","PC_7","PC_8","PC_9","PC_10","PC_11","PC_12","PC_13","PC_14","PC_15","PC_16","PC_17","PC_18","PC_19","PC_20","PC_21","PC_22","PC_23","PC_24","PC_25","PC_26","PC_27","PC_28","PC_29","PC_30"
"cell0_1",7.85908593438943,12.9403895451905,-9.69998435944792,7.95808349949719,4.21400676353825,-4.56017864534011,8.27857101335233,0.0164447937970411,-3.32843927250073,-1.29594251433531,-5.01948766478943,1.96047349982017,-1.36398622961454,-3.62545227898436,0.767548546143919,-2.97026509676115,-1.32784595260637,0.816575989889859,-2.42943332281042,0.322515584389702,0.286719377579837,0.884685714860673,0.693612849236019,1.28059541603646,3.88680329496141,2.02148323943052,-0.335276827432748,2.19161166191319,-3.62427320272642,-2.02986103979453
"cell1_1",-6.55606849106748,5.81611037958542,1.21002428603161,3.45290051030119,2.49587525893782,-3.92217331337063,6.17063296298963,1.06135272492723,0.338370244537846,-1.87843782834392,-5.59854127805889,1.88265397155373,-4.3060056818143,-3.07877041665811,-0.759528151690013,-4.2321823614302,-1.15654397621031,3.02858143913244,-0.636251015664282,-2.03225706568393,-2.30193301648666,0.503315378241502,-2.53715428983495,-0.234146955483405,3.81776689747915,4.64881010460827,1.29324076938635,0.829967297282401,-1.97345048001553,-1.11936599508228
"cell2_1",-22.1171709510605,2.31146818808107,6.35129280573669,4.54324403978642,-2.15238391269853,1.52169490119753,4.12504659838352,-4.21402124960158,-0.486609822984344,2.17332900049188,4.51437197685142,-2.86024082464561,-1.77896446217288,-1.70718362703783,2.47284116364325,-0.0909387842492286,2.76631300326659,2.39397075868504,-0.356608020898209,2.76417848713232,-0.276435588209372,-0.649440073698261,0.13437325211848,-0.988528527830129,1.75415144033554,0.380783375155819,0.681177968925298,0.313995514096665,0.672711107521565,0.136331868426006
"cell3_1",21.0367896345059,-5.48894092888495,11.4683981834473,-0.700742147570009,-1.85631190866526,18.9170752250914,-3.62748626598686,-7.41212434451352,4.80340853961599,2.63918118711493,-0.553888425084632,-6.21842841856209,-2.45813905846391,-6.23538080433772,1.00911273212713,-3.03412303498752,-3.49530794395086,3.24777819081111,-2.11680065833915,0.951195477113771,6.17665384024741,0.707262329798152,-5.15176986580075,-2.41011442814905,-3.72267405497352,7.77651613797815,-4.52878611588072,-7.30984714391364,-1.97490427470896,0.186953248517886
"cell4_1",8.39207997464234,3.31012679960655,-14.7521933114681,10.1990121441051,1.33070190425233,-3.53248301056672,2.21997018582733,3.79178404959909,1.72815513058651,-6.07265556080057,7.56756433096276,4.45218104064388,0.109351535847487,-1.4592452237046,-3.56761666976755,-0.565308231250223,-0.923573058643686,1.68704191253308,-1.92869977010062,0.637323057895341,1.87233054224399,0.0981816264929679,-2.20473688345675,0.456133928325441,-1.99066000322845,2.24641984132287,-0.307312334404517,-0.353963657524046,-0.721999086631244,1.77588368891702
"cell5_1",8.87858197929931,7.74032198047195,-8.03604218149262,8.7817366878966,3.30294791629823,-1.1829020941975,7.47202440397655,4.43521250930024,-2.27094019231755,-3.68813438585059,-5.89169222315705,2.88036697984906,-3.35892297872206,-3.43159597283565,-1.84886707222499,-1.99749108311035,0.773372270627089,3.2071761750627,-0.535168486955444,-0.965139755477341,-0.881644483104419,-0.932573973789609,2.50612929345599,-0.848492890150191,1.28978099668533,-2.05678112697182,-1.47821865619859,1.48205257169939,-1.62345024078464,-0.644683037249763
"cell6_1",6.87202274364648,0.714747785667466,-15.3124535529337,9.49237187711307,3.76064942085732,6.43033322362055,2.36442408638473,-4.75466887923328,2.00708835923802,2.31190331695785,0.783231794036393,-0.369721719046567,-1.11932411067751,2.90000102619552,1.79836714289646,-0.684181876219951,2.61965466299846,1.24091499247876,-0.695470256573777,1.34474136925047,-1.82569016963451,-1.21522308329983,-1.67060497954415,-0.549187997342239,0.658304299027434,-0.704501764817438,-2.25708937150316,-0.888942250841921,-1.34897771045461,1.08889196845203
"cell7_1",-22.9550715747282,-4.5223218409425,3.46601843495679,8.65779562468337,-4.62680874931627,-12.1535945138378,-11.0844653995713,7.84764229534967,-3.78716803027392,2.71251726194367,1.29100153718561,-3.75784745465726,-3.03696277723979,-2.02658210263704,-1.64973083408323,1.44902114872736,1.31551704897764,-0.155092734681686,1.84299212485821,1.48364641194331,0.330326844652831,-0.0347315876191589,0.818091863039198,4.51617452932915,-1.35945175979937,-1.65012892381396,-1.84040138958298,1.19574075303365,0.292159312100205,-1.4598309932993
"cell8_1",-18.0885533605606,0.342591698864157,7.57391505635193,7.0304537455881,-3.52671865886286,-1.67970217778189,1.16560099064085,-4.67425403833487,-2.44969205778197,1.98804793583873,2.64924694907307,0.351933815630091,2.60216707834724,1.20095276795216,-0.618475295119146,2.07911882527987,0.98390855528523,-0.201281829983645,0.903147402656155,-2.58125080688963,-0.0807561622566329,0.999331341212735,-0.293541066856452,3.4710568295111,0.172867086180069,0.572737432223591,0.41167712949951,0.262977299478321,-1.28470586562881,-0.357372401133704
"cell9_1",12.3885722007267,4.55519955290049,1.18166337091286,5.54249452828923,1.80475646150385,-3.02309924806281,7.22167938003414,4.09905419597703,-4.29960836245247,2.26361258366088,0.854862579285033,1.41487988815434,-1.11103670914696,-4.05938799122963,-1.56343587439506,-5.85788810645991,2.86762093413776,-0.722134284190566,-2.32011510186613,-1.92811055477206,0.140158412419412,-2.26584110419219,-5.72899719307487,-3.91974323997636,-0.452103194036575,-0.651376869194059,-2.43789467550423,5.61379874542176,-2.61718382225829,1.26336410923993
