"","tSNE_1","tSNE_2"
"cell0_1",8.66907609587167,-26.9302603092776
"cell1_1",12.503621837558,4.55877960209628
"cell2_1",13.1304718442375,10.9215416736288
"cell3_1",-14.5164689598485,-39.2624888139105
"cell4_1",8.1016728869595,-3.01789691471805
"cell5_1",7.39890452290482,-24.7942124706303
"cell6_1",24.1201458455775,-17.1275139239546
"cell7_1",33.368008210349,1.01279546564187
"cell8_1",17.5632138896709,7.98375653131402
"cell9_1",4.70886278038641,-21.4358161976924
"cell10_1",-4.3713745706673,-16.1647618565176
"cell11_1",7.81727328361954,-4.0128569681505
"cell12_1",22.3021031619093,-12.8895700650713
"cell13_1",1.50862156306703,-15.8059632359229
"cell14_1",-1.88024762387156,-15.5715184630775
"cell15_1",9.9322107746288,-2.54752769603277
"cell16_1",-17.8813977141353,-22.5394431121548
"cell17_1",26.2036813300788,14.3670433341181
"cell18_1",17.8486338994018,23.4595725945675
"cell19_1",15.2431898579989,-4.60716861434955
"cell20_1",5.83640004391724,-25.7672509142921
"cell21_1",-5.4705841789771,-24.6419503596992
"cell22_1",35.4315402095848,-11.3120690720221
"cell23_1",11.272758631204,0.318507818382869
"cell24_1",8.87466383181003,0.619119703156308
"cell25_1",-0.784917121601054,-9.5957795600662
"cell26_1",-13.9058622207875,-25.1269028908488
"cell27_1",6.86781333644343,-23.4704237788299
"cell28_1",-19.395287923786,-18.0415255897114
"cell29_1",-14.801207961798,-29.2256459709681
"cell30_1",8.03092326286748,-25.3532303691315
"cell31_1",6.82246151257797,-26.8892504708636
"cell32_1",9.29460525969115,0.631500718186045
"cell33_1",42.2284265072855,-9.32681442826562
"cell34_1",1.63772042165137,-10.2297167200647
"cell35_1",-10.6540549869332,-17.2949063532554
"cell36_1",-2.03358805590623,-8.88741145762408
"cell37_1",25.5468873183915,14.9034937389037
"cell38_1",2.68567499707442,-12.1105331072504
"cell39_1",-7.67893934476695,-21.3044269860245
"cell40_1",21.2935546965286,-13.6630623361809
"cell41_1",8.76816468511463,0.676203182513962
"cell42_1",11.0737192537266,1.04755886074936
"cell43_1",21.225821562177,-16.7797672540448
"cell44_1",17.0137023747857,15.4400580763082
"cell45_1",-16.7962237527596,-20.8658152930423
"cell46_1",-16.8063706417697,-18.3796280500182
"cell47_1",-1.3887520208259,-7.61365027228177
"cell48_1",7.04966857835547,-0.480690018027216
"cell49_1",9.13995877448479,-27.9103201972721
"cell50_1",-4.56049523981796,-7.45144158644742
"cell51_1",25.8256520739999,13.5616312498603
"cell52_1",-6.50880844940922,-23.9988676122739
"cell53_1",-1.76381026994992,-13.3720734296339
"cell54_1",18.8251367548233,7.7369309596992
"cell55_1",3.02179199750026,-13.2741086199817
"cell56_1",-1.8714830514328,-9.14456352672613
"cell57_1",17.2598107089969,7.84106227088821
"cell58_1",-8.17414794866169,-18.1594403119766
"cell59_1",1.40789389317151,-8.70740568153784
"cell60_1",-10.9816170298361,-29.8737642062113
"cell61_1",6.4012188194433,8.56230574955547
"cell62_1",-0.534978057957271,-13.7180736745945
"cell63_1",23.5419177518482,-27.462162841683
"cell64_1",26.2957402390851,18.2088388000016
"cell65_1",19.7776176826583,-21.5063620700172
"cell66_1",3.41814140696419,-14.0226769978381
"cell67_1",8.19748987723792,27.7386514949114
"cell68_1",9.40567523694394,0.392380970468641
"cell69_1",6.95363043652949,-0.249794788000627
"cell70_1",-8.98491669599692,-24.7526553775674
"cell71_1",5.26194953677868,18.9075457295409
"cell72_1",-13.3236863843093,-17.5725654232187
"cell73_1",-18.1918899464193,-18.1975701652344
"cell74_1",29.5561796200608,-0.900570300588786
"cell75_1",-8.27820570368781,-17.2531379790452
"cell76_1",29.1556691186546,-0.820520847706753
"cell77_1",2.21241273154515,-12.5694579736543
"cell78_1",-0.0714287125996872,-9.66605173322215
"cell79_1",21.9621966210158,-10.7208377636668
"cell80_1",21.2844269677714,-13.465039707146
"cell81_1",-1.75821476314087,-7.86746889696792
"cell82_1",-20.547556867877,-24.0799706924622
"cell83_1",7.04781945201679,-25.1946059415716
"cell84_1",9.65689607093042,0.629660718512345
"cell85_1",3.17311430184101,-18.1278472333808
"cell86_1",2.84701695197038,-14.3862219978388
"cell87_1",-20.8938577632028,-24.4845244633796
"cell88_1",-1.80631218956946,-14.3721334498281
"cell89_1",1.34907550064929,-14.3118089916528
"cell90_1",22.9233287043218,-23.5260073193103
"cell91_1",16.318817688179,-6.19458945476199
"cell92_1",9.28093720331618,-27.685658650746
"cell93_1",44.8736348809546,-7.99246267347989
"cell94_1",10.7922896714771,-25.8214379125885
"cell95_1",22.5065844871048,-15.067155282877
"cell96_1",9.96142386008004,-28.1895605144654
"cell97_1",1.51000312254414,-11.3143816086656
