"","UMAP_1","UMAP_2"
"cell0_1",-6.32264765459463,2.39406660118024
"cell1_1",-8.24334562945305,-10.7954679971363
"cell2_1",-8.13148410282264,-13.2566596812014
"cell3_1",-2.8021091565824,11.7790478530397
"cell4_1",-5.48069446305472,-3.95241862169654
"cell5_1",-6.20492025760278,2.76552743769596
"cell6_1",-7.87100071672411,-0.919854085190946
"cell7_1",-1.29027106128377,-4.10658784275861
"cell8_1",-7.24291820211393,-12.5290367576652
"cell9_1",-5.93184694321359,7.61152785456509
"cell10_1",-5.8968760961713,8.89554484769203
"cell11_1",-5.52859772339763,-4.04680614122291
"cell12_1",-6.98154966416644,-0.825662615370378
"cell13_1",-6.2826499121182,8.09210941789584
"cell14_1",-6.25251883738368,8.76653592574836
"cell15_1",-5.22650395592556,-3.60742436385679
"cell16_1",-5.35129941341387,11.2120637824898
"cell17_1",-7.58362805116811,-11.2368608509967
"cell18_1",-9.71263162509879,-12.6828195058269
"cell19_1",-5.341847692434,-2.82503708923351
"cell20_1",-6.21788677898544,2.77375675009703
"cell21_1",-4.35781150358253,10.2043498076643
"cell22_1",-1.10525880243652,-1.67528273040358
"cell23_1",-4.79917560399285,-3.86756621605987
"cell24_1",-5.35194846365709,-4.19379799695476
"cell25_1",-5.75608308726284,7.87497147946476
"cell26_1",-5.08215758732161,11.6722799468571
"cell27_1",-6.49462601236626,2.92024669837577
"cell28_1",-5.69234893415106,10.2449320978095
"cell29_1",-4.3642568542986,11.9236317934263
"cell30_1",-6.26941373416228,2.51233223198778
"cell31_1",-6.32624226823611,2.56225994904571
"cell32_1",-5.04618928540037,-4.22828154750826
"cell33_1",-0.0604462243237367,-1.13608994963468
"cell34_1",-5.43025855179249,8.09542122022819
"cell35_1",-5.96902885714053,9.873002214155
"cell36_1",-5.52479721873587,7.96030738652172
"cell37_1",-7.61134960524873,-11.5485236731778
"cell38_1",-6.08768592439489,8.15762103905136
"cell39_1",-5.07787747537492,10.5466929930347
"cell40_1",-7.10624254469831,-0.653234935241632
"cell41_1",-4.93742834724114,-4.30208649989374
"cell42_1",-4.71353614617666,-3.95771037907748
"cell43_1",-7.87579796543144,-0.109220361318127
"cell44_1",-8.10559866354757,-12.2524734382982
"cell45_1",-5.99343904771556,10.8223284313758
"cell46_1",-5.96994415531078,10.4722833620763
"cell47_1",-5.48573581633122,7.62831011306059
"cell48_1",-5.25293029061842,-4.4375869918617
"cell49_1",-6.35713909691532,2.12488683421555
"cell50_1",-4.77289063982778,7.92925437943006
"cell51_1",-7.61498099143432,-11.6807335909461
"cell52_1",-4.32347165982891,10.3558231587525
"cell53_1",-6.36097411777911,8.08531770931084
"cell54_1",-7.01485151986596,-11.7972284282555
"cell55_1",-6.37291843787058,7.76084504475595
"cell56_1",-5.5430573703816,8.03936202478292
"cell57_1",-7.3031569076611,-13.0486379802476
"cell58_1",-5.14738438324621,10.4156038649982
"cell59_1",-5.69769244188437,7.76110275007982
"cell60_1",-3.80983216257361,11.6776933727088
"cell61_1",-7.18617384957089,-13.4453422489222
"cell62_1",-6.74443446075689,8.12238745666073
"cell63_1",-8.07865373281221,0.296541748158938
"cell64_1",-7.73244692159899,-11.1455312917607
"cell65_1",-8.4540260255989,0.499982227493624
"cell66_1",-6.33343773984749,7.80303840545347
"cell67_1",-7.21141847342299,-14.2053072558073
"cell68_1",-5.01359310137765,-4.10782093528992
"cell69_1",-5.20295148575683,-4.41195099604762
"cell70_1",-4.6162023022943,11.0314342592094
"cell71_1",-8.22035648831155,-14.1791383791616
"cell72_1",-6.52734040432897,10.5487924144843
"cell73_1",-5.89722759130586,10.4324375397003
"cell74_1",-0.33473818952339,-3.87056491156656
"cell75_1",-5.11798698909211,10.2862150828637
"cell76_1",-0.257498988107687,-3.8743948370689
"cell77_1",-6.12455208617554,8.06151896411108
"cell78_1",-5.45991965984871,8.0192904235203
"cell79_1",-6.66729442504049,-1.37013824915502
"cell80_1",-6.94425921238136,-0.73370959677844
"cell81_1",-5.37409237806337,7.79964545696863
"cell82_1",-5.24235620936392,11.107601841401
"cell83_1",-6.2814025757661,2.62641553218393
"cell84_1",-4.77317032251254,-4.0469253080736
"cell85_1",-6.33435132130772,8.16103042905182
"cell86_1",-6.64327214387131,7.79504009243883
"cell87_1",-5.12565643902276,11.088060473981
"cell88_1",-5.99971107795737,8.22691585126585
"cell89_1",-6.62218871485583,8.23062624643754
"cell90_1",-7.58624133628477,0.124977705689366
"cell91_1",-5.29547673547227,-2.68365502537735
"cell92_1",-6.33202709389214,2.33396696698144
"cell93_1",-0.194859740735532,-0.51860626599381
"cell94_1",-6.54408284587677,2.16699806173068
"cell95_1",-7.28888556534018,-0.935025837636963
"cell96_1",-6.58275288549544,2.17658782562117
"cell97_1",-5.80067277058054,7.93919659549
"cell98_1",-5.8446300194772,8.18168637201102
"cell99_1",-6.45904490957122,2.0923650974681
"cell100_1",-6.98189159845454,-11.531963509115
"cell101_1",-6.57785845235485,2.48260314463721
"cell102_1",-0.220878682684588,-2.02511648519982
"cell103_1",-5.34401480811088,-3.26676977412852
"cell104_1",-0.303174009885583,-0.452508112189969
"cell105_1",-7.09733552493802,-11.3403422253896
"cell106_1",-6.40293781625145,2.69782525303341
"cell107_1",-7.63322751902121,-12.3414471092659
"cell108_1",-3.4642910533455,10.7236891702029
"cell109_1",-3.59504481398494,12.1039117254936
"cell110_1",-1.3245018296085,-2.89679899141778
"cell111_1",-4.6446222966427,10.8172380796151
"cell112_1",-7.73893764861526,-10.5969283442525
"cell113_1",-1.38548635750619,-2.56532556128496
"cell114_1",-6.33122881241697,3.10711190463978
"cell115_1",-6.85806261135607,-1.03843468732527
"cell116_1",-7.74686712712879,-11.0018834205737
"cell117_1",-5.89363687616847,10.5998138513904
"cell118_1",-8.0755281890361,-0.289916889518242
"cell119_1",-1.34687354799321,-2.92966558769267
"cell120_1",-8.0301946741263,-12.1858522162064
"cell121_1",-8.48699530899218,-11.3417277734579
"cell122_1",-5.91473568579849,8.48028556944189
"cell123_1",-8.54305321314799,0.908366409689369
"cell124_1",-6.60830176677113,-1.21193136308786
"cell125_1",-4.22335324719434,10.3855827143561
"cell126_1",-6.67059902176336,8.10298995428525
"cell127_1",-5.43530399431426,10.5326496908245
"cell128_1",-7.72199687397968,-11.3924775943811
"cell129_1",-9.08559232420441,-11.490248736353
"cell130_1",-5.14314862092883,-3.00211162783426
